Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,3,24,1,8
2023-01-01,1,Ciutat Vella,1,el Raval,3,20,1,9
2023-01-01,1,Ciutat Vella,1,el Raval,3,23,1,10
2023-01-01,1,Ciutat Vella,1,el Raval,3,23,1,11
2023-01-01,1,Ciutat Vella,1,el Raval,3,28,1,12
2023-01-01,1,Ciutat Vella,1,el Raval,3,18,1,13
2023-01-01,1,Ciutat Vella,1,el Raval,3,19,1,14
2023-01-01,1,Ciutat Vella,1,el Raval,3,24,1,15
2023-01-01,1,Ciutat Vella,1,el Raval,3,16,1,16
2023-01-01,1,Ciutat Vella,1,el Raval,3,21,1,17
2023-01-01,1,Ciutat Vella,1,el Raval,3,21,1,18
2023-01-01,1,Ciutat Vella,1,el Raval,3,24,1,19
2023-01-01,1,Ciutat Vella,1,el Raval,3,28,1,20
